Date Time, Water Level, Sigma, O, F, R, L, Quality 
2009-01-01 00:00,-0.651,0.000,0,0,0,0,v
2009-01-01 00:06,-0.610,0.008,0,0,0,0,v
2009-01-01 00:12,-0.532,0.007,0,0,0,0,v
2009-01-01 00:18,-0.540,0.013,0,0,0,0,v
2009-01-01 00:24,-0.485,0.013,0,0,0,0,v
2009-01-01 00:30,-0.437,0.013,0,0,0,0,v
2009-01-01 00:36,-0.378,0.010,0,0,0,0,v
2009-01-01 00:42,-0.326,0.012,0,0,0,0,v
2009-01-01 00:48,-0.278,0.016,0,0,0,0,v
2009-01-01 00:54,-0.217,0.007,0,0,0,0,v
2009-01-01 01:00,-0.163,0.008,0,0,0,0,v
2009-01-01 01:06,-0.112,0.004,0,0,0,0,v
2009-01-01 01:12,-0.067,0.003,0,0,0,0,v
2009-01-01 01:18,-0.015,0.007,0,0,0,0,v
2009-01-01 01:24,0.032,0.004,0,0,0,0,v
2009-01-01 01:30,0.077,0.005,0,0,0,0,v
2009-01-01 01:36,0.122,0.008,0,0,0,0,v
2009-01-01 01:42,0.166,0.009,0,0,0,0,v
2009-01-01 01:48,0.201,0.004,0,0,0,0,v
2009-01-01 01:54,0.230,0.000,1,0,0,0,v
2009-01-01 02:00,0.258,0.000,0,0,0,0,v
2009-01-01 02:06,0.289,0.005,0,0,0,0,v
2009-01-01 02:12,0.321,0.004,0,0,0,0,v
2009-01-01 02:18,0.345,0.004,0,0,0,0,v
2009-01-01 02:24,0.365,0.003,0,0,0,0,v
2009-01-01 02:30,0.387,0.003,0,0,0,0,v
2009-01-01 02:36,0.414,0.003,0,0,0,0,v
2009-01-01 02:42,0.439,0.003,0,0,0,0,v
2009-01-01 02:48,0.454,0.002,0,0,0,0,v
2009-01-01 02:54,0.472,0.002,0,0,0,0,v
2009-01-01 03:00,0.487,0.002,0,0,0,0,v
2009-01-01 03:06,0.499,0.003,0,0,0,0,v
2009-01-01 03:12,0.511,0.002,0,0,0,0,v
2009-01-01 03:18,0.531,0.003,0,0,0,0,v
2009-01-01 03:24,0.545,0.002,0,0,0,0,v
2009-01-01 03:30,0.545,0.002,0,0,0,0,v
