Date Time, Water Level, Sigma, O, F, R, L, Quality 
2009-01-01 00:00,0.140,0.020,0,0,0,0,v
2009-01-01 00:06,0.149,0.023,0,0,0,0,v
2009-01-01 00:12,0.152,0.024,0,0,0,0,v
2009-01-01 00:18,0.144,0.023,0,0,0,0,v
2009-01-01 00:24,0.153,0.021,0,0,0,0,v
2009-01-01 00:30,0.144,0.022,0,0,0,0,v
2009-01-01 00:36,0.155,0.026,0,0,0,0,v
2009-01-01 00:42,0.164,0.029,0,0,0,0,v
2009-01-01 00:48,0.156,0.025,0,0,0,0,v
2009-01-01 00:54,0.177,0.026,0,0,0,0,v
2009-01-01 01:00,0.166,0.029,0,0,0,0,v
2009-01-01 01:06,0.176,0.027,0,0,0,0,v
2009-01-01 01:12,0.199,0.030,0,0,0,0,v
2009-01-01 01:18,0.191,0.032,0,0,0,0,v
2009-01-01 01:24,0.181,0.032,0,0,0,0,v
2009-01-01 01:30,0.172,0.029,0,0,0,0,v
2009-01-01 01:36,0.178,0.029,0,0,0,0,v
2009-01-01 01:42,0.180,0.033,0,0,0,0,v
2009-01-01 01:48,0.182,0.033,0,0,0,0,v
2009-01-01 01:54,0.179,0.000,1,0,0,0,v
2009-01-01 02:00,0.176,0.000,0,0,0,0,v
2009-01-01 02:06,0.171,0.028,0,0,0,0,v
2009-01-01 02:12,0.176,0.033,0,0,0,0,v
2009-01-01 02:18,0.195,0.033,0,0,0,0,v
2009-01-01 02:24,0.189,0.036,0,0,0,0,v
2009-01-01 02:30,0.185,0.026,0,0,0,0,v
2009-01-01 02:36,0.191,0.032,0,0,0,0,v
2009-01-01 02:42,0.176,0.033,0,0,0,0,v
2009-01-01 02:48,0.188,0.035,0,0,0,0,v
2009-01-01 02:54,0.194,0.028,0,0,0,0,v
2009-01-01 03:00,0.166,0.043,0,0,0,0,v
2009-01-01 03:06,0.180,0.037,0,0,0,0,v
2009-01-01 03:12,0.174,0.030,0,0,0,0,v
2009-01-01 03:18,0.164,0.036,0,0,0,0,v
2009-01-01 03:24,0.174,0.038,0,0,0,0,v
2009-01-01 03:30,0.183,0.033,0,0,0,0,v
2009-01-01 03:36,0.174,0.037,0,0,0,0,v
2009-01-01 03:42,0.167,0.039,0,0,0,0,v
2009-01-01 03:48,0.151,0.033,0,0,0,0,v
2009-01-01 03:54,0.161,0.035,0,0,0,0,v
2009-01-01 04:00,0.158,0.040,0,0,0,0,v
2009-01-01 04:06,0.162,0.037,0,0,0,0,v
2009-01-01 04:12,0.150,0.038,0,0,0,0,v
2009-01-01 04:18,0.175,0.033,0,0,0,0,v
2009-01-01 04:24,0.146,0.040,0,0,0,0,v
2009-01-01 04:30,0.144,0.035,0,0,0,0,v
2009-01-01 04:36,0.124,0.038,0,0,0,0,v
2009-01-01 04:42,0.126,0.039,0,0,0,0,v
2009-01-01 04:48,0.119,0.032,0,0,0,0,v
2009-01-01 04:54,0.090,0.030,0,0,0,0,v
2009-01-01 05:00,0.112,0.030,0,0,0,0,v
2009-01-01 05:06,0.131,0.035,0,0,0,0,v
2009-01-01 05:12,0.133,0.034,0,0,0,0,v
2009-01-01 05:18,0.125,0.044,0,0,0,0,v
2009-01-01 05:24,0.115,0.033,0,0,0,0,v
2009-01-01 05:30,0.135,0.035,0,0,0,0,v
2009-01-01 05:36,0.132,0.036,0,0,0,0,v
2009-01-01 05:42,0.123,0.039,0,0,0,0,v
2009-01-01 05:48,0.136,0.035,0,0,0,0,v
2009-01-01 05:54,0.138,0.037,0,0,0,0,v
2009-01-01 06:00,0.130,0.032,0,0,0,0,v
2009-01-01 06:06,0.123,0.037,0,0,0,0,v
2009-01-01 06:12,0.143,0.038,0,0,0,0,v
2009-01-01 06:18,0.132,0.033,0,0,0,0,v
2009-01-01 06:24,0.130,0.033,0,0,0,0,v
2009-01-01 06:30,0.117,0.000,0,0,0,0,v
2009-01-01 06:36,0.129,0.037,0,0,0,0,v
2009-01-01 06:42,0.134,0.041,0,0,0,0,v
2009-01-01 06:48,0.139,0.041,0,0,0,0,v
2009-01-01 06:54,0.133,0.047,0,0,0,0,v
2009-01-01 07:00,0.132,0.034,0,0,0,0,v
2009-01-01 07:06,0.111,0.041,0,0,0,0,v
2009-01-01 07:12,0.133,0.039,0,0,0,0,v
2009-01-01 07:18,0.140,0.036,0,0,0,0,v
2009-01-01 07:24,0.124,0.034,0,0,0,0,v
2009-01-01 07:30,0.133,0.038,0,0,0,0,v
2009-01-01 07:36,0.157,0.041,0,0,0,0,v
2009-01-01 07:42,0.148,0.036,0,0,0,0,v
2009-01-01 07:48,0.148,0.036,0,0,0,0,v
2009-01-01 07:54,0.156,0.036,0,0,0,0,v
2009-01-01 08:00,0.163,0.038,0,0,0,0,v
2009-01-01 08:06,0.162,0.036,0,0,0,0,v
2009-01-01 08:12,0.144,0.044,0,0,0,0,v
2009-01-01 08:18,0.138,0.038,0,0,0,0,v
2009-01-01 08:24,0.148,0.036,0,0,0,0,v
2009-01-01 08:30,0.159,0.041,0,0,0,0,v
2009-01-01 08:36,0.164,0.029,0,0,0,0,v
2009-01-01 08:42,0.154,0.037,0,0,0,0,v
2009-01-01 08:48,0.176,0.034,0,0,0,0,v
2009-01-01 08:54,0.160,0.043,0,0,0,0,v
2009-01-01 09:00,0.167,0.037,0,0,0,0,v
2009-01-01 09:06,0.157,0.040,0,0,0,0,v
2009-01-01 09:12,0.142,0.035,0,0,0,0,v
2009-01-01 09:18,0.122,0.035,0,0,0,0,v
2009-01-01 09:24,0.120,0.034,0,0,0,0,v
2009-01-01 09:30,0.117,0.038,0,0,0,0,v
2009-01-01 09:36,0.117,0.032,0,0,0,0,v
2009-01-01 09:42,0.107,0.036,0,0,0,0,v
2009-01-01 09:48,0.112,0.034,0,0,0,0,v
2009-01-01 09:54,0.109,0.035,0,0,0,0,v
2009-01-01 10:00,0.109,0.037,0,0,0,0,v
2009-01-01 10:06,0.098,0.039,0,0,0,0,v
2009-01-01 10:12,0.108,0.040,0,0,0,0,v
2009-01-01 10:18,0.119,0.032,0,0,0,0,v
2009-01-01 10:24,0.118,0.031,0,0,0,0,v
2009-01-01 10:30,0.122,0.038,0,0,0,0,v
2009-01-01 10:36,0.117,0.035,0,0,0,0,v
2009-01-01 10:42,0.120,0.033,0,0,0,0,v
2009-01-01 10:48,0.122,0.035,0,0,0,0,v
2009-01-01 10:54,0.117,0.042,0,0,0,0,v
2009-01-01 11:00,0.104,0.035,0,0,0,0,v
2009-01-01 11:06,0.076,0.031,0,0,0,0,v
2009-01-01 11:12,0.094,0.036,0,0,0,0,v
2009-01-01 11:18,0.092,0.033,0,0,0,0,v
2009-01-01 11:24,0.077,0.031,0,0,0,0,v
2009-01-01 11:30,0.080,0.038,0,0,0,0,v
2009-01-01 11:36,0.095,0.034,0,0,0,0,v
2009-01-01 11:42,0.067,0.040,0,0,0,0,v
2009-01-01 11:48,0.089,0.027,0,0,0,0,v
2009-01-01 11:54,0.076,0.038,0,0,0,0,v
2009-01-01 12:00,0.103,0.027,0,0,0,0,v
2009-01-01 12:06,0.090,0.035,0,0,0,0,v
2009-01-01 12:12,0.091,0.031,0,0,0,0,v
2009-01-01 12:18,0.071,0.035,0,0,0,0,v
2009-01-01 12:24,0.074,0.034,0,0,0,0,v
2009-01-01 12:30,0.088,0.027,0,0,0,0,v
2009-01-01 12:36,0.091,0.032,0,0,0,0,v
2009-01-01 12:42,0.063,0.030,0,0,0,0,v
2009-01-01 12:48,0.068,0.034,0,0,0,0,v
2009-01-01 12:54,0.067,0.030,0,0,0,0,v
2009-01-01 13:00,0.050,0.031,0,0,0,0,v
2009-01-01 13:06,0.051,0.033,0,0,0,0,v
2009-01-01 13:12,0.050,0.035,0,0,0,0,v
2009-01-01 13:18,0.038,0.032,0,0,0,0,v
2009-01-01 13:24,0.045,0.030,0,0,0,0,v
2009-01-01 13:30,0.048,0.029,0,0,0,0,v
2009-01-01 13:36,0.035,0.029,0,0,0,0,v
2009-01-01 13:42,0.016,0.027,0,0,0,0,v
2009-01-01 13:48,0.010,0.029,0,0,0,0,v
2009-01-01 13:54,0.017,0.029,0,0,0,0,v
2009-01-01 14:00,0.009,0.025,0,0,0,0,v
2009-01-01 14:06,-0.022,0.031,0,0,0,0,v
2009-01-01 14:12,-0.016,0.027,0,0,0,0,v
2009-01-01 14:18,-0.017,0.027,0,0,0,0,v
2009-01-01 14:24,-0.026,0.028,0,0,0,0,v
2009-01-01 14:30,-0.033,0.027,0,0,0,0,v
2009-01-01 14:36,-0.038,0.026,0,0,0,0,v
2009-01-01 14:42,-0.043,0.031,0,0,0,0,v
2009-01-01 14:48,-0.053,0.026,0,0,0,0,v
2009-01-01 14:54,-0.060,0.029,0,0,0,0,v
2009-01-01 15:00,-0.060,0.027,0,0,0,0,v
2009-01-01 15:06,-0.052,0.024,0,0,0,0,v
2009-01-01 15:12,-0.072,0.026,0,0,0,0,v
