Date Time, Water Level, Sigma, O, F, R, L, Quality 
2009-01-01 00:00,-0.549,0.005,0,0,0,0,v
2009-01-01 00:06,-0.513,0.005,0,0,0,0,v
2009-01-01 00:12,-0.475,0.006,0,0,0,0,v
2009-01-01 00:18,-0.436,0.011,0,0,0,0,v
2009-01-01 00:24,-0.385,,0,0,0,0,v
2009-01-01 00:30,-0.345,0.004,0,0,0,0,v
2009-01-01 00:36,-0.300,0.011,0,0,0,0,v
2009-01-01 00:42,-0.260,0.004,0,0,0,0,v
2009-01-01 00:48,-0.214,0.006,0,0,0,0,v
2009-01-01 00:54,-0.189,0.007,0,0,0,0,v
2009-01-01 01:00,-0.156,0.003,0,0,0,0,v
2009-01-01 01:06,-0.135,0.006,0,0,0,0,v
2009-01-01 01:12,-0.112,,0,0,0,0,v
2009-01-01 01:18,-0.094,0.003,0,0,0,0,v
2009-01-01 01:24,-0.075,0.004,0,0,0,0,v
2009-01-01 01:30,-0.052,0.004,0,0,0,0,v
2009-01-01 01:36,-0.026,0.004,0,0,0,0,v
2009-01-01 01:42,-0.003,0.004,0,0,0,0,v
2009-01-01 01:48,0.024,0.004,0,0,0,0,v
2009-01-01 01:54,0.041,0.000,1,0,0,0,v
2009-01-01 02:00,0.058,,0,0,0,0,v
2009-01-01 02:06,0.081,0.004,0,0,0,0,v
2009-01-01 02:12,0.098,,0,0,0,0,v
2009-01-01 02:18,0.110,0.003,0,0,0,0,v
2009-01-01 02:24,0.119,0.003,0,0,0,0,v
2009-01-01 02:30,0.127,0.002,0,0,0,0,v
2009-01-01 02:36,0.130,0.003,0,0,0,0,v
2009-01-01 02:42,0.132,0.003,0,0,0,0,v
2009-01-01 02:48,0.139,0.003,0,0,0,0,v
2009-01-01 02:54,0.147,0.003,0,0,0,0,v
2009-01-01 03:00,0.149,0.003,0,0,0,0,v
2009-01-01 03:06,0.154,0.004,0,0,0,0,v
2009-01-01 03:12,0.162,,0,0,0,0,v
2009-01-01 03:18,0.168,0.003,0,0,0,0,v
2009-01-01 03:24,0.169,0.003,0,0,0,0,v
2009-01-01 03:30,0.162,0.003,0,0,0,0,v
2009-01-01 03:36,0.160,0.003,0,0,0,0,v
2009-01-01 03:42,0.152,0.003,0,0,0,0,v
2009-01-01 03:48,0.147,0.002,0,0,0,0,v
2009-01-01 03:54,0.142,0.003,0,0,0,0,v
2009-01-01 04:00,0.137,0.003,0,0,0,0,v
2009-01-01 04:06,0.134,0.003,0,0,0,0,v
2009-01-01 04:12,0.126,,0,0,0,0,v
2009-01-01 04:18,0.119,0.003,0,0,0,0,v
2009-01-01 04:24,0.114,0.003,0,0,0,0,v
2009-01-01 04:30,0.108,0.004,0,0,0,0,v
2009-01-01 04:36,0.095,0.004,0,0,0,0,v
2009-01-01 04:42,0.084,0.005,0,0,0,0,v
2009-01-01 04:48,0.073,0.004,0,0,0,0,v
2009-01-01 04:54,0.057,0.004,0,0,0,0,v
2009-01-01 05:00,0.040,0.004,0,0,0,0,v
2009-01-01 05:06,0.021,0.004,0,0,0,0,v
2009-01-01 05:12,-0.000,,0,0,0,0,v
2009-01-01 05:18,-0.027,0.005,0,0,0,0,v
2009-01-01 05:24,-0.057,0.005,0,0,0,0,v
2009-01-01 05:30,-0.085,0.005,0,0,0,0,v
2009-01-01 05:36,-0.114,0.004,0,0,0,0,v
2009-01-01 05:42,-0.140,0.004,0,0,0,0,v
2009-01-01 05:48,-0.163,0.003,0,0,0,0,v
2009-01-01 05:54,-0.179,0.003,0,0,0,0,v
2009-01-01 06:00,-0.193,0.003,0,0,0,0,v
2009-01-01 06:06,-0.209,0.004,0,0,0,0,v
2009-01-01 06:12,-0.222,0.004,0,0,0,0,v
2009-01-01 06:18,-0.237,0.003,0,0,0,0,v
2009-01-01 06:24,-0.254,0.004,0,0,0,0,v
2009-01-01 06:30,-0.276,0.004,0,0,0,0,v
2009-01-01 06:36,-0.301,0.004,0,0,0,0,v
2009-01-01 06:42,-0.324,0.005,0,0,0,0,v
2009-01-01 06:48,-0.354,0.004,0,0,0,0,v
2009-01-01 06:54,-0.387,0.005,0,0,0,0,v
2009-01-01 07:00,-0.422,0.005,0,0,0,0,v
2009-01-01 07:06,-0.458,0.006,0,0,0,0,v
2009-01-01 07:12,-0.494,,0,0,0,0,v
2009-01-01 07:18,-0.526,0.005,0,0,0,0,v
2009-01-01 07:24,-0.559,0.005,0,0,0,0,v
2009-01-01 07:30,-0.595,0.005,0,0,0,0,v
2009-01-01 07:36,-0.626,0.005,0,0,0,0,v
2009-01-01 07:42,-0.660,0.005,0,0,0,0,v
2009-01-01 07:48,-0.688,0.004,0,0,0,0,v
2009-01-01 07:54,-0.710,0.004,0,0,0,0,v
2009-01-01 08:00,-0.737,0.004,0,0,0,0,v
