Date Time, Water Level, Sigma, O, F, R, L, Quality 
2009-01-01 00:00,0.064,0.078,0,0,0,0,v
2009-01-01 00:06,0.070,0.070,0,0,0,0,v
2009-01-01 00:12,0.117,0.081,0,0,0,0,v
2009-01-01 00:18,0.099,0.079,0,0,0,0,v
2009-01-01 00:24,0.099,0.078,0,0,0,0,v
2009-01-01 00:30,0.077,0.081,0,0,0,0,v
2009-01-01 00:36,0.072,0.103,0,0,0,0,v
2009-01-01 00:42,0.070,0.090,0,0,0,0,v
2009-01-01 00:48,0.074,0.074,0,0,0,0,v
2009-01-01 00:54,0.086,0.103,0,0,0,0,v
2009-01-01 01:00,0.057,0.065,0,0,0,0,v
2009-01-01 01:06,0.039,0.083,0,0,0,0,v
2009-01-01 01:12,0.056,0.089,0,0,0,0,v
2009-01-01 01:18,0.087,0.080,0,0,0,0,v
2009-01-01 01:24,0.085,0.093,0,0,0,0,v
2009-01-01 01:30,0.110,0.088,0,0,0,0,v
2009-01-01 01:36,0.147,0.080,0,0,0,0,v
2009-01-01 01:42,0.230,0.085,0,0,0,0,v
2009-01-01 01:48,0.272,0.074,0,0,0,0,v
2009-01-01 01:54,0.317,0.083,0,0,0,0,v
2009-01-01 02:00,0.338,0.000,0,0,0,0,v
2009-01-01 02:06,0.359,0.079,0,0,0,0,v
2009-01-01 02:12,0.389,0.084,0,0,0,0,v
2009-01-01 02:18,0.394,0.077,0,0,0,0,v
2009-01-01 02:24,0.384,0.075,0,0,0,0,v
2009-01-01 02:30,0.410,0.086,0,0,0,0,v
2009-01-01 02:36,0.417,0.076,0,0,0,0,v
2009-01-01 02:42,0.367,0.065,0,0,0,0,v
2009-01-01 02:48,0.381,0.088,0,0,0,0,v
2009-01-01 02:54,0.374,0.083,0,0,0,0,v
2009-01-01 03:00,0.368,0.068,0,0,0,0,v
2009-01-01 03:06,0.334,0.090,0,0,0,0,v
2009-01-01 03:12,0.333,0.076,0,0,0,0,v
2009-01-01 03:18,0.335,0.069,0,0,0,0,v
2009-01-01 03:24,0.341,0.073,0,0,0,0,v
2009-01-01 03:30,0.350,0.080,0,0,0,0,v
2009-01-01 03:36,0.357,0.063,0,0,0,0,v
2009-01-01 03:42,0.349,0.074,0,0,0,0,v
2009-01-01 03:48,0.366,0.071,0,0,0,0,v
2009-01-01 03:54,0.362,0.075,0,0,0,0,v
2009-01-01 04:00,0.323,0.078,0,0,0,0,v
2009-01-01 04:06,0.334,0.067,0,0,0,0,v
2009-01-01 04:12,0.337,0.072,0,0,0,0,v
2009-01-01 04:18,0.303,0.067,0,0,0,0,v
2009-01-01 04:24,0.240,0.068,0,0,0,0,v
2009-01-01 04:30,0.215,0.074,0,0,0,0,v
2009-01-01 04:36,0.199,0.073,0,0,0,0,v
2009-01-01 04:42,0.195,0.073,0,0,0,0,v
2009-01-01 04:48,0.181,0.077,0,0,0,0,v
2009-01-01 04:54,0.151,0.075,0,0,0,0,v
2009-01-01 05:00,0.116,0.068,0,0,0,0,v
2009-01-01 05:06,0.124,0.077,0,0,0,0,v
2009-01-01 05:12,0.111,0.087,0,0,0,0,v
2009-01-01 05:18,0.051,0.089,0,0,0,0,v
2009-01-01 05:24,0.015,0.074,0,0,0,0,v
2009-01-01 05:30,-0.025,0.076,0,0,0,0,v
2009-01-01 05:36,-0.028,0.074,0,0,0,0,v
2009-01-01 05:42,-0.034,0.080,0,0,0,0,v
2009-01-01 05:48,-0.047,0.077,0,0,0,0,v
2009-01-01 05:54,-0.064,0.069,0,0,0,0,v
2009-01-01 06:00,-0.106,0.097,0,0,0,0,v
2009-01-01 06:06,-0.149,0.070,0,0,0,0,v
2009-01-01 06:12,-0.181,0.076,0,0,0,0,v
2009-01-01 06:18,-0.218,0.069,0,0,0,0,v
2009-01-01 06:24,-0.246,0.076,0,0,0,0,v
2009-01-01 06:30,-0.200,0.076,0,0,0,0,v
2009-01-01 06:36,-0.173,0.061,0,0,0,0,v
2009-01-01 06:42,-0.245,0.069,0,0,0,0,v
2009-01-01 06:48,-0.281,0.075,0,0,0,0,v
