Date Time, Water Level, Sigma, O, F, R, L, Quality 
2009-01-01 00:00,-1.109,0.006,0,0,0,0,v
2009-01-01 00:06,-1.144,0.006,0,0,0,0,v
2009-01-01 00:12,-1.156,0.006,0,0,0,0,v
2009-01-01 00:18,-1.203,0.004,0,0,0,0,v
2009-01-01 00:24,-1.202,0.005,0,0,0,0,v
2009-01-01 00:30,-1.209,0.006,0,0,0,0,v
2009-01-01 00:36,-1.224,0.005,0,0,0,0,v
2009-01-01 00:42,-1.234,0.005,0,0,0,0,v
2009-01-01 00:48,-1.237,0.005,0,0,0,0,v
2009-01-01 00:54,-1.240,0.005,0,0,0,0,v
2009-01-01 01:00,-1.224,0.006,0,0,0,0,v
2009-01-01 01:06,-1.211,0.005,0,0,0,0,v
2009-01-01 01:12,-1.223,0.005,0,0,0,0,v
2009-01-01 01:18,-1.211,0.005,0,0,0,0,v
2009-01-01 01:24,-1.212,0.005,0,0,0,0,v
2009-01-01 01:30,-1.203,0.000,0,0,0,0,v
2009-01-01 01:36,-1.180,0.007,0,0,0,0,v
2009-01-01 01:42,-1.159,0.006,0,0,0,0,v
2009-01-01 01:48,-1.130,0.008,0,0,0,0,v
2009-01-01 01:54,-1.092,0.005,0,0,0,0,v
2009-01-01 02:00,-1.061,0.007,0,0,0,0,v
2009-01-01 02:06,-1.036,0.005,0,0,0,0,v
2009-01-01 02:12,-1.008,0.006,0,0,0,0,v
2009-01-01 02:18,-0.968,0.006,0,0,0,0,v
2009-01-01 02:24,-0.927,0.006,0,0,0,0,v
2009-01-01 02:30,-0.885,0.008,0,0,0,0,v
2009-01-01 02:36,-0.824,0.010,0,0,0,0,v
2009-01-01 02:42,-0.769,0.007,0,0,0,0,v
2009-01-01 02:48,-0.734,0.005,0,0,0,0,v
2009-01-01 02:54,-0.675,0.009,0,0,0,0,v
2009-01-01 03:00,-0.619,0.008,0,0,0,0,v
2009-01-01 03:06,-0.572,0.009,0,0,0,0,v
2009-01-01 03:12,-0.511,0.010,0,0,0,0,v
2009-01-01 03:18,-0.455,0.007,0,0,0,0,v
2009-01-01 03:24,-0.401,0.007,0,0,0,0,v
2009-01-01 03:30,-0.342,0.009,0,0,0,0,v
2009-01-01 03:36,-0.281,0.011,0,0,0,0,v
2009-01-01 03:42,-0.232,0.005,0,0,0,0,v
2009-01-01 03:48,-0.166,0.010,0,0,0,0,v
2009-01-01 03:54,-0.103,0.006,0,0,0,0,v
2009-01-01 04:00,-0.055,0.009,0,0,0,0,v
2009-01-01 04:06,0.000,0.009,0,0,0,0,v
2009-01-01 04:12,0.073,0.011,0,0,0,0,v
2009-01-01 04:18,0.144,0.009,0,0,0,0,v
2009-01-01 04:24,0.203,0.009,0,0,0,0,v
2009-01-01 04:30,0.259,0.009,0,0,0,0,v
2009-01-01 04:36,0.321,0.007,0,0,0,0,v
2009-01-01 04:42,0.380,0.011,0,0,0,0,v
2009-01-01 04:48,0.446,0.009,0,0,0,0,v
2009-01-01 04:54,0.497,0.007,0,0,0,0,v
2009-01-01 05:00,0.558,0.010,0,0,0,0,v
2009-01-01 05:06,0.618,0.006,0,0,0,0,v
2009-01-01 05:12,0.657,0.006,0,0,0,0,v
2009-01-01 05:18,0.691,0.007,0,0,0,0,v
2009-01-01 05:24,0.738,0.008,0,0,0,0,v
2009-01-01 05:30,0.776,0.006,0,0,0,0,v
2009-01-01 05:36,0.806,0.008,0,0,0,0,v
2009-01-01 05:42,0.841,0.006,0,0,0,0,v
2009-01-01 05:48,0.872,0.007,0,0,0,0,v
2009-01-01 05:54,0.909,0.010,0,0,0,0,v
2009-01-01 06:00,0.956,0.005,0,0,0,0,v
2009-01-01 06:06,0.973,0.006,0,0,0,0,v
2009-01-01 06:12,0.980,0.007,0,0,0,0,v
2009-01-01 06:18,0.998,0.006,0,0,0,0,v
2009-01-01 06:24,1.018,0.006,0,0,0,0,v
2009-01-01 06:30,1.038,0.005,0,0,0,0,v
2009-01-01 06:36,1.039,0.006,0,0,0,0,v
2009-01-01 06:42,1.049,0.006,0,0,0,0,v
2009-01-01 06:48,1.064,0.004,0,0,0,0,v
2009-01-01 06:54,1.055,0.007,0,0,0,0,v
2009-01-01 07:00,1.059,0.006,0,0,0,0,v
2009-01-01 07:06,1.061,0.005,0,0,0,0,v
2009-01-01 07:12,1.049,0.005,0,0,0,0,v
2009-01-01 07:18,1.034,0.005,0,0,0,0,v
2009-01-01 07:24,1.037,0.005,0,0,0,0,v
2009-01-01 07:30,1.024,0.006,0,0,0,0,v
2009-01-01 07:36,1.012,0.006,0,0,0,0,v
2009-01-01 07:42,0.988,0.007,0,0,0,0,v
2009-01-01 07:48,0.974,0.006,0,0,0,0,v
2009-01-01 07:54,0.959,0.007,0,0,0,0,v
2009-01-01 08:00,0.942,0.007,0,0,0,0,v
2009-01-01 08:06,0.899,0.007,0,0,0,0,v
2009-01-01 08:12,0.861,0.006,0,0,0,0,v
2009-01-01 08:18,0.838,0.005,0,0,0,0,v
2009-01-01 08:24,0.820,0.007,0,0,0,0,v
2009-01-01 08:30,0.783,0.005,0,0,0,0,v
2009-01-01 08:36,0.758,0.005,0,0,0,0,v
2009-01-01 08:42,0.717,0.009,0,0,0,0,v
2009-01-01 08:48,0.674,0.004,0,0,0,0,v
2009-01-01 08:54,0.639,0.007,0,0,0,0,v
2009-01-01 09:00,0.592,0.007,0,0,0,0,v
2009-01-01 09:06,0.532,0.008,0,0,0,0,v
2009-01-01 09:12,0.489,0.008,0,0,0,0,v
2009-01-01 09:18,0.429,0.009,0,0,0,0,v
2009-01-01 09:24,0.396,0.006,0,0,0,0,v
2009-01-01 09:30,0.338,0.008,0,0,0,0,v
2009-01-01 09:36,0.284,0.009,0,0,0,0,v
2009-01-01 09:42,0.215,0.008,0,0,0,0,v
2009-01-01 09:48,0.167,0.008,0,0,0,0,v
2009-01-01 09:54,0.102,0.007,0,0,0,0,v
2009-01-01 10:00,0.052,0.008,0,0,0,0,v
2009-01-01 10:06,-0.005,0.012,0,0,0,0,v
2009-01-01 10:12,-0.066,0.007,0,0,0,0,v
2009-01-01 10:18,-0.124,0.007,0,0,0,0,v
2009-01-01 10:24,-0.191,0.010,0,0,0,0,v
2009-01-01 10:30,-0.268,0.011,0,0,0,0,v
2009-01-01 10:36,-0.332,0.008,0,0,0,0,v
2009-01-01 10:42,-0.376,0.006,0,0,0,0,v
2009-01-01 10:48,-0.420,0.007,0,0,0,0,v
2009-01-01 10:54,-0.455,0.008,0,0,0,0,v
2009-01-01 11:00,-0.500,0.007,0,0,0,0,v
2009-01-01 11:06,-0.555,0.007,0,0,0,0,v
2009-01-01 11:12,-0.598,0.009,0,0,0,0,v
2009-01-01 11:18,-0.648,0.009,0,0,0,0,v
